Dataset,SCC_Index,SCC_Size,Vertices,Time_ms,DFS_Visits,Edges_Explored,Stack_Pops
tasks_medium_2,0,1,[6],0.030708,15,35,15
tasks_medium_2,1,1,[9],,,,
tasks_medium_2,2,1,[11],,,,
tasks_medium_2,3,1,[12],,,,
tasks_medium_2,4,11,"[0, 1, 2, 3, 4, 5, 7, 8, 10, 13, 14]",,,,
