Dataset,SCC_Index,SCC_Size,Vertices,Time_ms,DFS_Visits,Edges_Explored,Stack_Pops
tasks_large_2,0,1,[33],0.143125,35,120,35
tasks_large_2,1,1,[23],,,,
tasks_large_2,2,1,[24],,,,
tasks_large_2,3,1,[10],,,,
tasks_large_2,4,31,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 25, 26, 27, 28, 29, 30, 31, 32, 34]",,,,
