Dataset,SCC_Index,SCC_Size,Vertices,Time_ms,DFS_Visits,Edges_Explored,Stack_Pops
tasks_large_1,0,1,[24],0.142125,25,50,25
tasks_large_1,1,1,[15],,,,
tasks_large_1,2,21,"[1, 2, 3, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 22, 23]",,,,
tasks_large_1,3,1,[6],,,,
tasks_large_1,4,1,[0],,,,
